task_name,planned_end,actual_end,percent_complete,milestone,owner
Data Mapping Sign-off,2026-06-01,2026-06-01,100,yes,P. Rao
Source System Access Provisioning,2026-06-03,2026-06-03,100,no,P. Rao
Legacy field extraction task 1,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 2,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 3,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 4,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 5,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 6,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 7,2026-06-30,,40,no,A. Iyer
Legacy field extraction task 8,2026-06-30,,40,no,A. Iyer
